"time", "BouncingBall.h", "BouncingBall.v", "BouncingBall.der(h)", "BouncingBall.der(v)", "BouncingBall.ground"
1.7, 0.828133140925, -0.242135325, -0.242135325, -9.81, 0.1
1.71, 0.825270337675, -0.340235325, -0.340235325, -9.81, 0.1
1.71, 0.825270337675, -0.340235325, -0.340235325, -9.81, 0.1
1.72, 0.821426534425, -0.438335325, -0.438335325, -9.81, 0.1
1.72, 0.821426534425, -0.438335325, -0.438335325, -9.81, 0.1
1.73, 0.816601731175, -0.536435325, -0.536435325, -9.81, 0.1
1.73, 0.816601731175, -0.536435325, -0.536435325, -9.81, 0.1
1.74, 0.810795927925, -0.634535325, -0.634535325, -9.81, 0.1
1.74, 0.810795927925, -0.634535325, -0.634535325, -9.81, 0.1
1.75, 0.804009124675, -0.732635325, -0.732635325, -9.81, 0.1
1.75, 0.804009124675, -0.732635325, -0.732635325, -9.81, 0.1
1.76, 0.796241321425, -0.830735325, -0.830735325, -9.81, 0.1
1.76, 0.796241321425, -0.830735325, -0.830735325, -9.81, 0.1
1.77, 0.787492518175, -0.928835325, -0.928835325, -9.81, 0.1
1.77, 0.787492518175, -0.928835325, -0.928835325, -9.81, 0.1
1.78, 0.777762714925, -1.026935325, -1.026935325, -9.81, 0.1
1.78, 0.777762714925, -1.026935325, -1.026935325, -9.81, 0.1
1.79, 0.767051911675, -1.125035325, -1.125035325, -9.81, 0.1
1.79, 0.767051911675, -1.125035325, -1.125035325, -9.81, 0.1
1.8, 0.755360108425, -1.223135325, -1.223135325, -9.81, 0.1
1.8, 0.755360108425, -1.223135325, -1.223135325, -9.81, 0.1
1.81, 0.742687305175, -1.321235325, -1.321235325, -9.81, 0.1
1.81, 0.742687305175, -1.321235325, -1.321235325, -9.81, 0.1
1.82, 0.729033501925, -1.419335325, -1.419335325, -9.81, 0.1
1.82, 0.729033501925, -1.419335325, -1.419335325, -9.81, 0.1
1.83, 0.714398698675, -1.517435325, -1.517435325, -9.81, 0.1
1.83, 0.714398698675, -1.517435325, -1.517435325, -9.81, 0.1
1.84, 0.698782895425, -1.615535325, -1.615535325, -9.81, 0.1
1.84, 0.698782895425, -1.615535325, -1.615535325, -9.81, 0.1
1.85, 0.682186092175, -1.713635325, -1.713635325, -9.81, 0.1
1.85, 0.682186092175, -1.713635325, -1.713635325, -9.81, 0.1
1.86, 0.664608288925, -1.811735325, -1.811735325, -9.81, 0.1
1.86, 0.664608288925, -1.811735325, -1.811735325, -9.81, 0.1
1.87, 0.646049485675, -1.909835325, -1.909835325, -9.81, 0.1
1.87, 0.646049485675, -1.909835325, -1.909835325, -9.81, 0.1
1.88, 0.626509682425, -2.007935325, -2.007935325, -9.81, 0.1
1.88, 0.626509682425, -2.007935325, -2.007935325, -9.81, 0.1
1.89, 0.605988879175, -2.106035325, -2.106035325, -9.81, 0.1
1.89, 0.605988879175, -2.106035325, -2.106035325, -9.81, 0.1
1.9, 0.584487075925, -2.204135325, -2.204135325, -9.81, 0.1
1.9, 0.584487075925, -2.204135325, -2.204135325, -9.81, 0.1
1.91, 0.562004272675, -2.302235325, -2.302235325, -9.81, 0.1
1.91, 0.562004272675, -2.302235325, -2.302235325, -9.81, 0.1
1.92, 0.538540469425, -2.400335325, -2.400335325, -9.81, 0.1
1.92, 0.538540469425, -2.400335325, -2.400335325, -9.81, 0.1
